iteration,k=1,k=2,k=3,k=4,k=e
1636,5991,5799,5754,6043,6766
1637,5991,5799,5757,6043,6766
1638,5996,5802,5759,6046,6772
1639,6000,5809,5759,6046,6778
1640,6004,5812,5760,6049,6778
1641,6010,5818,5767,6054,6781
1642,6013,5823,5771,6058,6786
1643,6015,5826,5771,6058,6786
1644,6018,5830,5776,6062,6790
1645,6018,5831,5781,6066,6794
1646,6021,5834,5784,6067,6796
1647,6022,5836,5785,6072,6803
1648,6024,5838,5787,6072,6803
1649,6027,5840,5790,6073,6808
1650,6027,5841,5790,6073,6808
1651,6027,5841,5790,6073,6808
1652,6029,5841,5790,6074,6810
1653,6033,5847,5797,6076,6818
1654,6033,5852,5797,6077,6823
1655,6036,5854,5798,6077,6830
1656,6038,5854,5800,6083,6836
1657,6047,5855,5801,6089,6842
1658,6047,5857,5801,6089,6843
1659,6051,5858,5804,6094,6843
1660,6051,5858,5805,6095,6843
1661,6054,5858,5805,6098,6843
1662,6059,5865,5812,6105,6850
1663,6066,5869,5817,6110,6851
1664,6068,5871,5819,6113,6853
1665,6068,5871,5819,6117,6853
1666,6070,5878,5829,6127,6857
1667,6072,5879,5829,6133,6858
1668,6072,5879,5829,6133,6858
1669,6073,5881,5831,6133,6858
1670,6073,5886,5835,6137,6858
1671,6074,5888,5837,6137,6861
1672,6074,5888,5837,6137,6862
1673,6078,5888,5839,6138,6862
1674,6078,5888,5841,6139,6862
1675,6082,5888,5844,6142,6862
1676,6082,5889,5844,6142,6866
1677,6084,5893,5848,6147,6867
1678,6084,5893,5853,6147,6871
1679,6085,5893,5858,6149,6876
1680,6086,5894,5864,6152,6876
1681,6088,5894,5868,6156,6880
1682,6088,5894,5868,6157,6880
1683,6095,5895,5870,6159,6883
1684,6095,5895,5870,6159,6883
1685,6097,5895,5875,6164,6885
1686,6097,5895,5875,6164,6885
1687,6097,5895,5880,6165,6889
1688,6097,5895,5882,6169,6891
1689,6099,5898,5887,6174,6896
1690,6104,5901,5889,6176,6900
1691,6111,5902,5889,6176,6900
1692,6111,5904,5889,6177,6903
1693,6114,5906,5895,6180,6907
1694,6119,5912,5899,6180,6911
1695,6119,5912,5899,6181,6912
1696,6121,5914,5900,6181,6912
1697,6123,5915,5902,6183,6914
1698,6123,5920,5907,6185,6917
1699,6123,5920,5907,6185,6921
1700,6123,5920,5907,6185,6921
1701,6123,5923,5907,6187,6924
1702,6128,5926,5908,6188,6926
1703,6132,5926,5910,6190,6929
1704,6134,5928,5910,6192,6929
1705,6135,5928,5911,6194,6931
1706,6136,5930,5912,6198,6932
1707,6140,5935,5916,6203,6937
1708,6140,5935,5916,6203,6937
1709,6140,5935,5916,6203,6937
1710,6140,5935,5916,6203,6937
1711,6140,5935,5916,6204,6937
1712,6140,5936,5922,6210,6942
1713,6144,5938,5925,6216,6945
1714,6152,5943,5931,6219,6952
1715,6153,5943,5936,6224,6957
1716,6156,5947,5940,6226,6963
1717,6158,5949,5941,6228,6965
1718,6164,5955,5949,6233,6965
1719,6168,5957,5952,6236,6967
1720,6168,5960,5956,6237,6969
1721,6171,5960,5964,6246,6973
1722,6182,5963,5970,6249,6981
1723,6182,5965,5970,6250,6986
1724,6182,5969,5972,6250,6990
1725,6191,5975,5975,6254,6991
1726,6195,5978,5975,6256,6994
1727,6195,5978,5976,6256,6994
1728,6200,5978,5979,6257,6994
1729,6202,5982,5980,6259,7001
1730,6207,5984,5980,6259,7004
1731,6207,5984,5980,6261,7004
1732,6207,5984,5980,6261,7004
1733,6207,5984,5980,6261,7004
1734,6212,5987,5982,6265,7005
1735,6212,5991,5982,6268,7005
1736,6212,5993,5982,6276,7006
1737,6213,5993,5982,6276,7006
1738,6218,5993,5986,6278,7006
1739,6218,5998,5988,6278,7007
1740,6224,5998,5990,6278,7009
1741,6224,6002,5990,6278,7009
1742,6226,6005,5991,6281,7010
1743,6226,6008,5991,6285,7013
1744,6233,6008,5992,6285,7017
1745,6235,6009,5993,6286,7018
1746,6237,6010,5994,6288,7022
1747,6237,6010,5994,6289,7022
1748,6237,6010,5994,6289,7022
1749,6245,6017,5994,6289,7024
1750,6249,6021,5998,6294,7029
1751,6253,6025,6004,6298,7034
1752,6261,6027,6009,6303,7039
1753,6267,6031,6015,6314,7042
1754,6270,6031,6016,6319,7042
1755,6276,6034,6016,6322,7042
1756,6278,6034,6016,6324,7044
1757,6278,6034,6018,6324,7048
1758,6278,6034,6019,6328,7048
1759,6279,6037,6022,6328,7048
1760,6289,6038,6026,6335,7054
1761,6292,6040,6028,6338,7057
1762,6292,6040,6028,6339,7058
1763,6299,6043,6031,6342,7060
1764,6301,6044,6034,6346,7061
1765,6306,6046,6036,6349,7062
1766,6310,6047,6038,6353,7062
1767,6316,6047,6042,6359,7063
1768,6322,6047,6046,6360,7068
1769,6329,6050,6052,6367,7072
1770,6335,6055,6058,6371,7082
1771,6335,6055,6062,6372,7087
1772,6335,6056,6065,6377,7092
1773,6337,6058,6065,6379,7095
1774,6345,6065,6072,6385,7102
1775,6347,6066,6073,6385,7102
1776,6348,6070,6074,6388,7104
1777,6353,6072,6075,6390,7109
1778,6355,6072,6076,6393,7113
1779,6361,6072,6076,6393,7113
1780,6368,6073,6076,6393,7113
1781,6372,6075,6080,6397,7118
1782,6375,6082,6085,6399,7124
1783,6375,6082,6087,6399,7126
1784,6387,6085,6098,6411,7126
1785,6388,6085,6098,6416,7128
1786,6390,6085,6106,6420,7132
1787,6391,6085,6106,6422,7135
1788,6398,6086,6111,6424,7137
1789,6398,6086,6111,6424,7138
1790,6398,6094,6111,6425,7139
1791,6398,6094,6111,6425,7139
1792,6399,6102,6111,6425,7139
1793,6401,6103,6112,6425,7143
1794,6407,6103,6114,6430,7146
1795,6409,6107,6116,6433,7151
1796,6411,6109,6120,6437,7155
1797,6411,6109,6120,6437,7155
1798,6417,6113,6125,6444,7160
1799,6417,6113,6125,6444,7160
1800,6417,6113,6126,6447,7161
1801,6420,6115,6126,6449,7164
1802,6422,6116,6127,6450,7167
1803,6426,6120,6127,6450,7167
1804,6432,6123,6129,6450,7168
1805,6434,6124,6130,6450,7168
1806,6441,6124,6135,6451,7168
1807,6441,6124,6135,6452,7168
1808,6446,6130,6140,6456,7172
1809,6452,6132,6147,6464,7179
1810,6452,6133,6147,6464,7180
1811,6457,6134,6151,6466,7187
1812,6463,6140,6151,6473,7187
1813,6464,6143,6152,6474,7191
1814,6468,6143,6153,6476,7192
1815,6471,6148,6154,6476,7195
1816,6474,6152,6157,6480,7198
1817,6484,6152,6161,6485,7205
1818,6484,6156,6161,6485,7205
1819,6484,6156,6161,6485,7207
1820,6486,6157,6162,6485,7208
1821,6486,6157,6162,6486,7208
1822,6493,6157,6162,6489,7214
1823,6496,6157,6165,6493,7219
1824,6496,6157,6169,6493,7219
1825,6496,6157,6169,6493,7219
1826,6497,6159,6170,6497,7221
1827,6497,6159,6170,6497,7221
1828,6500,6163,6170,6502,7221
1829,6500,6167,6170,6503,7224
1830,6505,6170,6175,6507,7228
1831,6505,6171,6180,6507,7228
1832,6506,6173,6180,6509,7232
1833,6508,6174,6182,6510,7232
1834,6510,6179,6183,6510,7233
1835,6515,6186,6187,6515,7240
1836,6518,6196,6196,6518,7245
1837,6521,6204,6199,6521,7245
1838,6521,6204,6199,6521,7245
1839,6525,6204,6201,6521,7251
1840,6529,6204,6205,6521,7251
1841,6530,6204,6205,6521,7252
1842,6533,6204,6210,6526,7252
1843,6536,6208,6216,6530,7256
1844,6538,6210,6219,6532,7260
1845,6543,6211,6222,6538,7260
1846,6549,6211,6228,6544,7264
1847,6549,6213,6229,6547,7264
1848,6549,6213,6229,6547,7265
1849,6550,6220,6234,6549,7265
1850,6550,6220,6234,6549,7265
1851,6555,6220,6236,6551,7268
1852,6555,6221,6237,6551,7272
1853,6555,6222,6237,6551,7272
1854,6555,6223,6238,6555,7272
1855,6555,6225,6240,6557,7274
1856,6555,6227,6243,6557,7274
1857,6555,6234,6244,6558,7275
1858,6557,6234,6245,6558,7275
1859,6562,6234,6245,6559,7277
1860,6568,6235,6245,6564,7282
1861,6568,6238,6245,6564,7287
1862,6569,6241,6245,6567,7288
1863,6569,6246,6246,6567,7290
1864,6571,6248,6247,6570,7294
1865,6580,6248,6247,6570,7297
1866,6581,6248,6253,6571,7302
1867,6586,6248,6253,6571,7302
1868,6586,6248,6254,6571,7302
1869,6588,6250,6258,6576,7312
1870,6590,6255,6261,6579,7315
1871,6590,6257,6261,6579,7315
1872,6596,6262,6267,6585,7318
1873,6596,6267,6268,6589,7320
1874,6596,6267,6268,6590,7320
1875,6596,6270,6272,6593,7323
1876,6598,6274,6277,6596,7327
1877,6599,6274,6277,6597,7327
1878,6607,6277,6277,6601,7327
1879,6607,6277,6278,6601,7327
1880,6609,6279,6278,6606,7327
1881,6610,6280,6284,6609,7331
1882,6613,6280,6286,6615,7333
1883,6614,6281,6289,6616,7335
1884,6621,6285,6294,6623,7337
1885,6623,6285,6294,6629,7339
1886,6623,6287,6301,6633,7342
1887,6624,6287,6303,6634,7343
1888,6624,6295,6303,6635,7346
1889,6624,6295,6303,6635,7346
1890,6625,6296,6304,6640,7349
1891,6628,6297,6306,6646,7352
1892,6634,6299,6309,6650,7355
1893,6634,6299,6309,6650,7359
1894,6638,6300,6314,6652,7360
1895,6638,6307,6314,6657,7360
1896,6638,6307,6314,6657,7360
1897,6638,6307,6314,6657,7360
1898,6645,6310,6317,6661,7364
1899,6648,6310,6319,6666,7367
1900,6650,6310,6324,6669,7372
1901,6656,6312,6331,6679,7377
1902,6663,6312,6331,6679,7380
1903,6665,6313,6335,6683,7380
1904,6670,6313,6335,6683,7381
1905,6674,6315,6340,6686,7384
1906,6678,6323,6344,6690,7394
1907,6681,6327,6344,6691,7399
1908,6681,6327,6344,6691,7399
1909,6688,6336,6350,6692,7405
1910,6695,6341,6353,6697,7408
1911,6698,6345,6357,6698,7408
1912,6704,6346,6362,6706,7411
1913,6704,6349,6363,6706,7412
1914,6704,6350,6365,6708,7412
1915,6709,6350,6370,6708,7416
1916,6709,6350,6371,6712,7418
1917,6716,6351,6371,6717,7424
1918,6718,6354,6374,6718,7427
1919,6720,6364,6384,6721,7432
1920,6723,6370,6386,6726,7436
1921,6729,6371,6393,6728,7443
1922,6733,6377,6398,6731,7448
1923,6733,6377,6398,6731,7448
1924,6738,6382,6401,6735,7450
1925,6743,6383,6406,6740,7456
1926,6747,6385,6412,6744,7460
1927,6750,6386,6418,6745,7464
1928,6753,6388,6419,6748,7468
1929,6753,6390,6425,6748,7468
1930,6753,6391,6425,6748,7468
1931,6753,6392,6425,6748,7468
1932,6753,6392,6426,6748,7468
1933,6753,6392,6426,6749,7468
1934,6754,6395,6427,6753,7468
1935,6754,6397,6427,6753,7468
1936,6754,6397,6427,6757,7468
1937,6754,6397,6427,6757,7468
1938,6760,6398,6428,6759,7474
1939,6763,6401,6429,6762,7476
1940,6766,6406,6429,6763,7476
1941,6770,6406,6430,6764,7480
1942,6770,6406,6434,6770,7482
1943,6775,6406,6438,6772,7488
1944,6775,6406,6438,6772,7488
1945,6775,6407,6438,6772,7489
1946,6775,6407,6439,6775,7489
1947,6775,6407,6441,6776,7489
1948,6775,6408,6443,6776,7489
1949,6776,6408,6447,6776,7490
1950,6776,6410,6447,6776,7491
1951,6776,6410,6449,6780,7497
1952,6778,6412,6451,6782,7499
1953,6779,6413,6452,6782,7500
1954,6785,6420,6454,6790,7508
1955,6786,6420,6454,6791,7508
1956,6789,6423,6457,6791,7508
1957,6795,6425,6459,6793,7515
1958,6796,6429,6459,6794,7519
1959,6804,6429,6467,6804,7526
1960,6804,6429,6467,6804,7526
1961,6805,6429,6468,6804,7526
1962,6807,6432,6473,6805,7530
1963,6809,6438,6475,6808,7534
1964,6812,6441,6475,6809,7535
1965,6815,6445,6475,6809,7538
1966,6821,6445,6475,6809,7538
1967,6824,6446,6477,6809,7538
1968,6824,6446,6477,6810,7538
1969,6824,6449,6478,6810,7542
1970,6824,6449,6478,6811,7542
1971,6824,6449,6478,6811,7542
1972,6827,6451,6478,6815,7542
1973,6828,6452,6478,6815,7542
1974,6833,6459,6486,6818,7550
1975,6836,6463,6493,6820,7550
1976,6836,6463,6496,6825,7550
1977,6843,6469,6500,6831,7555
1978,6846,6470,6504,6835,7560
1979,6846,6470,6504,6835,7562
1980,6852,6472,6504,6836,7562
1981,6863,6483,6514,6847,7568
1982,6863,6492,6514,6849,7568
1983,6864,6494,6517,6849,7569
1984,6864,6494,6517,6851,7571
1985,6864,6494,6520,6859,7573
1986,6866,6494,6520,6861,7573
1987,6869,6494,6521,6867,7573
1988,6870,6494,6522,6868,7575
1989,6876,6496,6532,6874,7583
1990,6886,6496,6533,6875,7586
1991,6886,6496,6533,6875,7586
1992,6888,6496,6533,6877,7591
1993,6892,6497,6535,6885,7593
1994,6893,6498,6538,6887,7594
1995,6897,6500,6540,6892,7596
1996,6898,6503,6541,6896,7600
1997,6902,6503,6542,6897,7600
1998,6908,6508,6546,6901,7604
1999,6908,6508,6549,6901,7604
