iteration,k=1,k=2,k=3,k=4,k=e
371,2039,2157,2079,2129,2505
372,2040,2163,2082,2131,2509
373,2050,2173,2094,2139,2516
374,2056,2177,2098,2148,2519
375,2057,2184,2103,2152,2524
376,2061,2187,2104,2154,2525
377,2061,2187,2104,2154,2534
378,2061,2190,2105,2154,2538
379,2064,2193,2108,2158,2540
380,2065,2202,2115,2158,2545
381,2071,2208,2121,2164,2554
382,2077,2212,2127,2170,2560
383,2077,2216,2130,2170,2561
384,2077,2216,2134,2171,2569
385,2083,2221,2136,2174,2577
386,2090,2230,2140,2178,2580
387,2091,2231,2141,2179,2592
388,2094,2234,2147,2182,2598
389,2099,2234,2147,2182,2607
390,2107,2239,2147,2187,2618
391,2111,2243,2156,2191,2623
392,2111,2243,2156,2192,2631
393,2111,2249,2161,2195,2631
394,2115,2256,2161,2197,2639
395,2117,2259,2168,2199,2648
396,2125,2266,2169,2204,2657
397,2126,2267,2169,2204,2657
398,2131,2268,2170,2205,2663
399,2135,2273,2174,2209,2675
400,2139,2277,2180,2214,2675
401,2140,2282,2182,2215,2677
402,2142,2286,2184,2219,2682
403,2150,2295,2187,2222,2682
404,2156,2303,2193,2232,2693
405,2156,2303,2193,2232,2694
406,2156,2308,2198,2243,2705
407,2160,2309,2200,2246,2712
408,2167,2318,2211,2250,2718
409,2175,2324,2218,2259,2722
410,2177,2330,2225,2267,2726
411,2185,2338,2232,2274,2739
412,2189,2345,2235,2278,2745
413,2194,2348,2238,2279,2751
414,2199,2348,2238,2286,2763
415,2204,2354,2243,2292,2766
416,2211,2361,2250,2298,2774
417,2214,2364,2254,2305,2776
418,2219,2366,2258,2309,2780
419,2226,2372,2258,2316,2784
420,2227,2373,2258,2318,2790
421,2236,2379,2266,2323,2796
422,2241,2388,2276,2327,2804
423,2241,2388,2276,2333,2804
424,2249,2394,2282,2340,2813
425,2249,2394,2283,2341,2814
426,2255,2395,2290,2345,2822
427,2258,2396,2290,2347,2823
428,2260,2398,2296,2349,2829
429,2264,2402,2302,2355,2833
430,2264,2402,2303,2359,2834
431,2268,2405,2307,2363,2839
432,2272,2409,2307,2364,2841
433,2274,2412,2315,2367,2852
434,2282,2418,2323,2375,2852
435,2291,2422,2328,2376,2852
436,2295,2422,2329,2387,2858
437,2300,2425,2335,2393,2866
438,2305,2427,2336,2393,2869
439,2309,2431,2342,2401,2878
440,2312,2434,2348,2407,2885
441,2312,2436,2351,2420,2888
442,2318,2441,2360,2424,2895
443,2324,2444,2363,2432,2900
444,2325,2449,2369,2439,2910
445,2331,2455,2376,2443,2918
446,2335,2461,2380,2448,2924
447,2340,2471,2386,2458,2935
448,2345,2475,2390,2459,2939
449,2353,2482,2394,2463,2942
450,2359,2483,2394,2464,2947
451,2359,2486,2397,2467,2952
452,2362,2489,2400,2468,2955
453,2365,2493,2401,2472,2959
454,2372,2498,2403,2479,2969
455,2377,2506,2405,2482,2973
456,2384,2514,2408,2488,2975
457,2387,2514,2409,2489,2977
458,2392,2518,2415,2491,2985
459,2401,2524,2417,2498,2996
460,2402,2525,2417,2505,2996
461,2406,2528,2420,2512,3003
462,2406,2531,2420,2512,3010
463,2412,2537,2426,2517,3017
464,2413,2540,2430,2517,3019
465,2418,2546,2435,2524,3026
466,2420,2546,2435,2534,3028
467,2420,2552,2435,2535,3031
